,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
FL-520,354,268,214,60.45%,122,232,0,50,165,187,2,12,23,122,36,24,19.67%,0,67,17,74,46,2,12,2,232,232,190,81.90%,33,91,141,0,0,21,0,0,0,,0,0,0,0,0,0,164,164,164,100.00%,28,101,63,0,53,0,150,150,150,100.00%,9,28,122,0,150,0,13,108,101,101,93.52%,23,85,23,0,0,0
FL-600,2865,2548,2548,88.94%,2379,466,20,376,1308,1549,8,110,70,2379,2206,2206,92.73%,0,28,331,1164,1207,8,0,58,466,322,322,69.10%,45,144,322,0,90,12,20,20,20,100.00%,0,0,20,0,20,0,520,480,480,92.31%,106,344,176,0,88,67,4897,4897,3691,75.37%,445,1668,3229,0,1349,0,3451,296,296,296,100.00%,32,115,181,0,145,0
FL-601,1159,1033,984,84.90%,873,251,35,142,425,734,0,45,14,873,747,747,85.57%,0,0,92,277,596,0,0,0,251,251,202,80.48%,50,148,103,0,45,14,35,35,35,100.00%,0,0,35,0,0,0,639,639,639,100.00%,118,451,188,0,247,0,1169,1169,863,73.82%,158,235,934,0,8,0,741,20,20,20,100.00%,2,20,0,0,20,0
FL-602,199,189,75,37.69%,176,23,0,16,64,135,0,45,36,176,166,52,29.55%,0,0,16,64,112,0,22,36,23,23,23,100.00%,0,0,23,0,23,0,0,0,0,,0,0,0,0,0,0,111,97,97,87.39%,17,59,52,0,17,40,39,39,39,100.00%,0,0,39,0,0,0,0,0,0,0,,0,0,0,0,0,0
FL-603,366,271,173,47.27%,366,0,0,105,147,197,22,0,22,366,271,173,47.27%,0,25,105,147,197,22,0,22,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,360,360,360,100.00%,54,203,157,0,58,0,310,310,68,21.94%,242,242,68,0,242,0,18,65,65,0,0.00%,65,65,0,0,0,0
FL-604,391,376,342,87.47%,244,147,0,20,86,286,19,15,27,244,229,210,86.07%,0,0,7,37,188,19,0,19,147,147,132,89.80%,13,49,98,0,15,8,0,0,0,,0,0,0,0,0,0,4,4,4,100.00%,0,0,4,0,0,0,180,180,175,97.22%,11,47,133,0,2,3,40,20,20,20,100.00%,4,12,8,0,0,0
FL-605,871,721,692,79.45%,693,178,0,136,482,389,0,67,63,693,575,546,78.79%,0,0,128,450,243,0,44,18,178,146,146,82.02%,8,32,146,0,23,45,0,0,0,,0,0,0,0,0,0,635,585,585,92.13%,135,423,212,0,61,129,1315,1315,1315,100.00%,98,405,910,0,676,76,506,116,116,116,100.00%,22,110,6,0,0,0
FL-606,462,462,318,68.83%,270,192,0,58,113,341,8,5,8,270,270,150,55.56%,0,0,20,50,220,0,0,0,192,192,168,87.50%,38,63,121,8,5,8,0,0,0,,0,0,0,0,0,0,144,144,144,100.00%,11,34,110,0,6,0,94,94,94,100.00%,0,0,94,0,3,0,0,3,3,3,100.00%,0,0,3,0,3,0
GA-500,2485,2449,2229,89.70%,1677,808,0,159,566,1919,0,144,98,1677,1641,1441,85.93%,225,3,112,463,1214,0,20,56,808,808,788,97.52%,47,103,705,0,124,42,0,0,0,,0,0,0,0,0,0,559,536,536,95.89%,83,289,270,0,80,2,1827,1827,1513,82.81%,159,405,1422,0,342,78,1528,354,354,354,100.00%,45,99,255,0,0,0
GA-501,3275,2063,1380,42.14%,2054,1221,0,555,1954,1292,29,35,90,2054,1274,1008,49.07%,0,0,316,1092,938,24,15,66,1221,789,372,30.47%,239,862,354,5,20,24,0,0,0,,0,0,0,0,0,0,1194,996,996,83.42%,322,938,256,0,91,63,2522,2493,2360,93.58%,454,895,1627,0,530,0,506,531,531,10,1.88%,200,225,306,0,10,0
GA-502,262,230,230,87.79%,130,132,0,44,145,105,12,38,31,130,98,98,75.38%,0,0,24,81,37,12,12,12,132,132,132,100.00%,20,64,68,0,26,19,0,0,0,,0,0,0,0,0,0,112,112,112,100.00%,13,46,66,0,0,0,548,516,370,67.52%,116,281,267,0,310,16,471,0,0,0,,0,0,0,0,0,0
GA-503,230,198,148,64.35%,167,63,0,35,121,109,0,17,32,167,141,100,59.88%,0,0,22,84,83,0,17,32,63,57,48,76.19%,13,37,26,0,0,0,0,0,0,,0,0,0,0,0,0,317,304,304,95.90%,68,234,83,0,1,9,156,156,98,62.82%,15,36,120,0,58,4,66,0,0,0,,0,0,0,0,0,0
GA-504,415,403,383,92.29%,407,8,0,223,290,125,0,0,0,407,395,375,92.14%,0,55,220,282,125,0,0,0,8,8,8,100.00%,3,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,184,184,25,13.59%,159,159,25,0,159,0,159,0,0,0,,0,0,0,0,0,0
GA-505,359,316,166,46.24%,313,46,0,25,58,301,0,0,0,313,270,120,38.34%,0,0,21,46,267,0,0,0,46,46,46,100.00%,4,12,34,0,0,0,0,0,0,,0,0,0,0,0,0,509,278,278,54.62%,110,382,127,0,0,0,215,215,155,72.09%,9,15,200,0,66,0,87,97,97,97,100.00%,4,14,83,0,0,0
GA-506,381,300,272,71.39%,269,112,0,63,211,170,0,0,0,269,229,201,74.72%,0,0,52,175,94,0,0,0,112,71,71,63.39%,11,36,76,0,0,0,0,0,0,,0,0,0,0,0,0,40,40,40,100.00%,9,31,9,0,11,0,365,365,365,100.00%,39,140,225,0,293,0,62,0,0,0,,0,0,0,0,0,0
GA-507,700,624,304,43.43%,405,295,0,58,221,467,12,0,18,405,357,215,53.09%,0,0,30,136,257,12,0,12,295,267,89,30.17%,28,85,210,0,0,6,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,797,797,605,75.91%,197,555,242,0,189,0,139,22,22,0,0.00%,0,0,22,0,0,0
GA-508,170,98,98,57.65%,138,32,0,31,136,34,0,0,0,138,88,88,63.77%,6,51,22,107,31,0,0,0,32,10,10,31.25%,9,29,3,0,0,0,0,0,0,,0,0,0,0,0,0,127,91,91,71.65%,43,115,12,0,3,18,1093,1093,930,85.09%,123,392,701,0,540,0,276,22,22,22,100.00%,2,9,13,0,0,0
GU-500,145,95,90,62.07%,139,6,0,20,50,76,19,5,22,139,91,86,61.87%,0,28,18,48,73,18,5,18,6,4,4,66.67%,2,2,3,1,0,4,0,0,0,,0,0,0,0,0,0,62,27,27,43.55%,12,50,12,0,14,0,209,199,199,95.22%,24,97,112,0,124,0,118,340,340,4,1.18%,58,293,47,0,0,0
HI-500,750,688,688,91.73%,611,139,0,175,501,249,0,15,2,611,555,555,90.83%,0,0,141,396,215,0,15,0,139,133,133,95.68%,34,105,34,0,0,2,0,0,0,,0,0,0,0,0,0,290,290,290,100.00%,69,252,38,0,19,0,550,550,348,63.27%,37,121,429,0,202,0,315,458,458,458,100.00%,122,366,92,0,0,0
HI-501,2529,2405,2380,94.11%,1476,1005,48,349,1474,1050,5,161,67,1476,1382,1357,91.94%,0,74,198,664,807,5,44,51,1005,975,975,97.01%,151,810,195,0,69,16,48,48,48,100.00%,0,0,48,0,48,0,438,432,432,98.63%,136,265,173,0,90,38,2092,2092,1188,56.79%,675,877,1207,8,963,37,625,938,938,80,8.53%,210,798,140,0,0,0
IA-500,344,297,175,50.87%,284,60,0,35,122,222,0,0,0,284,242,120,42.25%,0,0,22,74,210,0,0,0,60,55,55,91.67%,13,48,12,0,0,0,0,0,0,,0,0,0,0,0,0,30,20,20,66.67%,4,12,18,0,9,0,71,71,41,57.75%,4,12,59,0,30,0,71,0,0,0,,0,0,0,0,0,0
IA-501,1688,1374,1112,65.88%,1197,478,13,277,789,859,40,50,62,1197,965,815,68.09%,155,69,176,522,641,34,10,34,478,396,284,59.41%,101,267,205,6,27,28,13,13,13,100.00%,0,0,13,0,13,0,1383,823,823,59.51%,256,851,532,0,102,6,577,559,524,90.81%,28,82,495,0,265,0,407,454,443,24,5.29%,68,289,165,0,9,0
IA-502,598,551,551,92.14%,407,176,15,53,146,452,0,20,28,407,362,362,88.94%,20,12,29,108,299,0,5,8,176,174,174,98.86%,24,38,138,0,0,20,15,15,15,100.00%,0,0,15,0,15,0,317,298,298,94.01%,59,200,117,0,45,58,502,502,502,100.00%,41,146,356,0,165,13,286,276,276,276,100.00%,85,192,84,0,12,0
ID-500,821,701,701,85.38%,665,156,0,102,217,600,4,73,4,665,606,606,91.13%,10,0,85,157,504,4,10,4,156,95,95,60.90%,17,60,96,0,63,0,0,0,0,,0,0,0,0,0,0,84,60,84,100.00%,25,78,6,0,12,0,299,299,299,100.00%,25,67,232,0,140,0,224,0,0,0,,0,0,0,0,0,0
ID-501,1038,796,371,35.74%,847,191,0,187,673,343,22,8,22,847,663,340,40.14%,76,2,135,546,279,22,8,22,191,133,31,16.23%,52,127,64,0,0,0,0,0,0,,0,0,0,0,0,0,110,95,95,86.36%,29,96,14,0,8,0,426,426,406,95.31%,62,164,262,0,237,0,156,398,398,398,100.00%,110,327,71,0,0,0
IL-500,93,93,93,100.00%,37,56,0,12,36,57,0,22,0,37,37,37,100.00%,0,0,1,17,20,0,0,0,56,56,56,100.00%,11,19,37,0,22,0,0,0,0,,0,0,0,0,0,0,17,17,17,100.00%,6,15,2,0,1,0,115,115,115,100.00%,28,78,37,0,3,0,23,21,21,21,100.00%,5,18,3,0,9,0
IL-501,483,336,336,69.57%,338,145,0,78,203,280,0,22,37,338,251,251,74.26%,0,0,35,112,226,0,9,23,145,85,85,58.62%,43,91,54,0,13,14,0,0,0,,0,0,0,0,0,0,219,219,219,100.00%,54,168,51,0,0,10,451,451,451,100.00%,43,145,306,0,107,0,31,128,128,128,100.00%,26,107,21,0,0,0
IL-502,407,311,324,79.61%,303,104,0,86,295,112,0,0,6,303,221,234,77.23%,50,12,69,233,70,0,0,0,104,90,90,86.54%,17,62,42,0,0,6,0,0,0,,0,0,0,0,0,0,251,127,119,47.41%,58,212,39,0,14,13,354,354,338,95.48%,14,51,303,0,173,0,165,357,251,0,0.00%,76,245,112,0,0,0
IL-503,193,173,134,69.43%,152,41,0,31,86,107,0,5,10,152,144,116,76.32%,4,15,22,59,93,0,0,4,41,29,18,43.90%,9,27,14,0,5,6,0,0,0,,0,0,0,0,0,0,16,16,4,25.00%,2,4,12,0,12,0,111,111,69,62.16%,17,44,67,0,42,0,4,17,17,0,0.00%,2,13,4,0,17,0
IL-504,63,48,29,46.03%,44,19,0,21,43,20,0,1,1,44,29,29,65.91%,0,10,14,24,20,0,1,1,19,19,0,0.00%,7,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,63,63,63,100.00%,18,56,7,0,0,0,149,149,149,100.00%,20,63,86,0,0,0,48,0,0,0,,0,0,0,0,0,0
IL-506,256,170,170,66.41%,134,112,10,41,116,140,0,10,0,134,110,110,82.09%,31,12,13,40,94,0,0,0,112,50,50,44.64%,28,76,36,0,0,0,10,10,10,100.00%,0,0,10,0,10,0,142,142,142,100.00%,26,86,56,0,0,12,269,269,269,100.00%,22,65,204,0,39,0,193,53,53,53,100.00%,9,38,15,0,0,0
IL-507,476,429,253,53.15%,433,39,4,32,152,324,0,15,0,433,386,243,56.12%,0,8,32,152,281,0,5,0,39,39,6,15.38%,0,0,39,0,6,0,4,4,4,100.00%,0,0,4,0,4,0,61,60,50,81.97%,7,26,35,0,10,0,356,333,333,93.54%,45,147,209,0,73,0,87,28,28,0,0.00%,0,0,28,0,0,0
IL-508,189,164,156,82.54%,54,135,0,44,132,57,0,28,4,54,29,29,53.70%,0,122,10,32,22,0,13,0,135,135,127,94.07%,34,100,35,0,15,4,0,0,0,,0,0,0,0,0,0,61,61,16,26.23%,18,50,11,0,0,0,273,273,256,93.77%,57,156,117,0,17,0,58,131,131,0,0.00%,26,108,23,0,0,0
IL-510,6532,6225,4124,63.14%,5246,1247,39,586,1905,4622,5,245,352,5246,5070,3064,58.41%,0,0,341,1261,3981,4,75,124,1247,1116,1021,81.88%,245,644,602,1,170,228,39,39,39,100.00%,0,0,39,0,0,0,2099,1975,1582,75.37%,375,1112,987,0,302,0,8360,8360,7691,92.00%,792,2684,5676,0,1579,124,3781,310,310,123,39.68%,26,105,205,0,45,0
IL-511,785,504,504,64.20%,467,289,29,129,423,357,5,20,118,467,313,313,67.02%,364,74,58,230,232,5,6,10,289,162,162,56.06%,71,193,96,0,0,108,29,29,29,100.00%,0,0,29,0,14,0,585,498,498,85.13%,125,400,185,0,33,86,1537,1496,1496,97.33%,127,469,1068,0,764,0,4,525,525,525,100.00%,68,254,271,0,17,0
IL-512,282,217,196,69.50%,198,84,0,99,164,118,0,11,120,198,153,132,66.67%,0,0,45,96,102,0,4,80,84,64,64,76.19%,54,68,16,0,7,40,0,0,0,,0,0,0,0,0,0,64,51,51,79.69%,17,53,11,0,0,0,171,171,144,84.21%,22,67,104,0,82,44,0,0,0,0,,0,0,0,0,0,0
IL-513,259,235,235,90.73%,120,139,0,44,114,145,0,15,8,120,96,96,80.00%,0,60,7,22,98,0,0,5,139,139,139,100.00%,37,92,47,0,15,3,0,0,0,,0,0,0,0,0,0,52,52,51,98.08%,9,23,29,0,1,16,146,146,91,62.33%,16,56,90,0,62,0,86,58,58,58,100.00%,11,32,26,0,0,0
IL-514,532,492,492,92.48%,388,144,0,100,341,191,0,6,94,388,348,348,89.69%,0,10,68,245,143,0,0,18,144,144,144,100.00%,32,96,48,0,6,76,0,0,0,,0,0,0,0,0,0,130,104,130,100.00%,26,104,26,0,3,3,442,442,442,100.00%,59,213,229,0,37,0,160,68,68,68,100.00%,11,34,34,0,0,0
IL-515,110,56,47,42.73%,72,38,0,24,51,50,9,0,9,72,47,47,65.28%,0,28,14,27,45,0,0,0,38,9,0,0.00%,10,24,5,9,0,9,0,0,0,,0,0,0,0,0,0,60,57,57,95.00%,9,29,31,0,0,0,42,42,42,100.00%,5,12,30,0,0,0,0,15,15,15,100.00%,0,0,15,0,0,0
IL-516,113,100,100,88.50%,102,11,0,12,39,74,0,0,0,102,89,89,87.25%,10,0,12,39,63,0,0,0,11,11,11,100.00%,0,0,11,0,0,0,0,0,0,,0,0,0,0,0,0,62,49,49,79.03%,12,40,22,0,0,0,83,83,73,87.95%,8,23,60,0,10,0,32,65,65,65,100.00%,22,63,2,0,24,0
IL-517,425,397,371,87.29%,407,18,0,20,139,286,0,4,16,407,379,353,86.73%,0,29,18,131,276,0,4,16,18,18,18,100.00%,2,8,10,0,0,0,0,0,0,,0,0,0,0,0,0,62,62,61,98.39%,12,35,27,0,4,0,194,194,194,100.00%,17,74,120,0,16,0,85,0,0,0,,0,0,0,0,0,0
IL-518,346,290,142,41.04%,293,53,0,18,97,238,11,6,62,293,237,89,30.38%,0,5,10,81,212,0,0,21,53,53,53,100.00%,8,16,26,11,6,41,0,0,0,,0,0,0,0,0,0,4,4,4,100.00%,2,4,0,0,0,4,24,24,18,75.00%,0,0,24,0,0,0,6,0,0,0,,0,0,0,0,0,0
IL-519,109,68,51,46.79%,58,51,0,13,49,54,6,1,20,58,36,26,44.83%,0,10,4,19,33,6,1,8,51,32,25,49.02%,9,30,21,0,0,12,0,0,0,,0,0,0,0,0,0,14,13,13,92.86%,0,0,14,0,3,0,88,88,88,100.00%,24,85,3,0,0,0,43,0,0,0,,0,0,0,0,0,0
IL-520,300,191,182,60.67%,251,49,0,52,158,140,2,4,10,251,157,148,58.96%,0,7,45,129,120,2,0,10,49,34,34,69.39%,7,29,20,0,4,0,0,0,0,,0,0,0,0,0,0,40,31,31,77.50%,9,28,12,0,0,0,108,108,108,100.00%,21,68,40,0,0,0,1,47,47,22,46.81%,9,26,21,0,0,0
IN-502,4769,3572,2753,57.73%,3618,1126,25,602,2015,2730,24,355,71,3618,2768,2232,61.69%,71,68,417,1384,2213,21,208,52,1126,779,496,44.05%,185,631,492,3,122,19,25,25,25,100.00%,0,0,25,0,25,0,906,692,692,76.38%,181,579,327,0,92,0,2960,2934,2842,96.01%,319,877,2083,0,938,0,1039,15,15,15,100.00%,0,0,15,0,0,0
IN-503,1572,1404,1228,78.12%,1302,270,0,167,554,1018,0,186,33,1302,1209,1041,79.95%,11,0,132,459,843,0,24,0,270,195,187,69.26%,35,95,175,0,162,33,0,0,0,,0,0,0,0,0,0,776,703,703,90.59%,119,358,418,0,233,96,1209,1178,1178,97.44%,167,330,879,0,487,30,718,1293,1293,1183,91.49%,170,518,749,26,123,38
KS-502,452,394,266,58.85%,320,132,0,55,145,307,0,26,57,320,262,214,66.88%,120,0,46,104,216,0,26,37,132,132,52,39.39%,9,41,91,0,0,20,0,0,0,,0,0,0,0,0,0,203,203,203,100.00%,59,151,52,0,38,5,562,562,562,100.00%,50,148,414,0,208,8,158,485,485,173,35.67%,135,185,300,0,0,0
KS-503,303,284,267,88.12%,260,43,0,36,93,210,0,17,0,260,241,224,86.15%,0,7,33,90,170,0,17,0,43,43,43,100.00%,3,3,40,0,0,0,0,0,0,,0,0,0,0,0,0,15,15,15,100.00%,2,4,11,0,0,0,318,318,318,100.00%,75,195,123,0,0,0,14,0,0,0,,0,0,0,0,0,0
KS-505,158,113,62,39.24%,84,74,0,44,112,46,0,0,4,84,39,39,46.43%,30,11,30,73,11,0,0,0,74,74,23,31.08%,14,39,35,0,0,4,0,0,0,,0,0,0,0,0,0,28,16,16,57.14%,6,13,15,0,3,0,21,21,21,100.00%,0,0,21,0,0,0,0,65,65,0,0.00%,14,46,19,0,0,0
KS-507,1181,747,244,20.66%,873,297,11,148,488,685,8,28,31,873,489,201,23.02%,139,11,103,366,499,8,17,8,297,247,32,10.77%,45,122,175,0,0,23,11,11,11,100.00%,0,0,11,0,11,0,280,266,266,95.00%,50,154,126,0,32,15,309,309,49,15.86%,29,96,213,0,278,0,14,71,71,0,0.00%,13,39,32,0,0,26
KY-500,1954,1479,967,49.49%,1556,398,0,210,715,1207,32,70,68,1556,1148,726,46.66%,210,35,169,567,957,32,2,32,398,331,241,60.55%,41,148,250,0,68,36,0,0,0,,0,0,0,0,0,0,1480,1111,1111,75.07%,277,904,576,0,120,39,1362,1209,1150,84.43%,216,615,747,0,503,0,767,492,492,10,2.03%,80,200,292,0,0,0
KY-501,1110,1026,1018,91.71%,781,329,0,93,308,782,20,164,87,781,721,721,92.32%,0,68,65,214,547,20,15,28,329,305,297,90.27%,28,94,235,0,149,59,0,0,0,,0,0,0,0,0,0,305,183,285,93.44%,65,211,94,0,52,56,1893,1893,1870,98.78%,217,751,1142,0,570,0,207,799,799,160,20.03%,122,348,451,0,0,57
KY-502,575,535,434,75.48%,475,100,0,29,137,425,13,78,29,475,435,334,70.32%,182,144,25,123,339,13,16,27,100,100,100,100.00%,4,14,86,0,62,2,0,0,0,,0,0,0,0,0,0,101,95,101,100.00%,4,12,89,0,18,16,352,345,352,100.00%,8,22,330,0,267,0,352,208,208,208,100.00%,48,158,50,0,1,0
LA-500,299,234,234,78.26%,249,39,11,36,128,171,0,24,0,249,200,200,80.32%,0,19,30,107,142,0,3,0,39,23,23,58.97%,6,21,18,0,10,0,11,11,11,100.00%,0,0,11,0,11,0,82,82,82,100.00%,19,59,23,0,11,0,351,324,324,92.31%,18,71,280,0,123,0,106,152,152,152,100.00%,29,119,33,0,0,0
LA-502,298,286,286,95.97%,221,52,25,23,95,180,23,103,31,221,209,209,94.57%,0,0,23,95,103,23,32,31,52,52,52,100.00%,0,0,52,0,46,0,25,25,25,100.00%,0,0,25,0,25,0,93,93,93,100.00%,13,61,32,0,39,0,414,414,264,63.77%,40,97,317,0,150,54,210,73,73,59,80.82%,14,14,59,0,0,0
LA-503,1043,997,980,93.96%,821,188,34,72,180,861,2,81,81,821,803,786,95.74%,0,0,37,92,727,2,7,66,188,160,160,85.11%,35,88,100,0,64,15,34,34,34,100.00%,0,0,34,0,10,0,1175,809,844,71.83%,250,765,410,0,146,53,3666,3655,3635,99.15%,250,785,2881,0,894,16,2000,239,239,20,8.37%,24,82,157,0,20,0
LA-505,144,77,32,22.22%,80,64,0,20,62,78,4,0,8,80,46,13,16.25%,0,0,11,31,45,4,0,4,64,31,19,29.69%,9,31,33,0,0,4,0,0,0,,0,0,0,0,0,0,147,79,79,53.74%,30,112,35,0,31,4,56,56,56,100.00%,2,5,51,0,16,0,40,68,68,0,0.00%,16,50,18,0,0,0
LA-506,51,30,30,58.82%,36,15,0,10,27,24,0,0,0,36,24,24,66.67%,0,0,7,20,16,0,0,0,15,6,6,40.00%,3,7,8,0,0,0,0,0,0,,0,0,0,0,0,0,54,35,35,64.81%,18,46,8,0,0,0,336,336,300,89.29%,40,107,229,0,59,0,117,0,0,0,,0,0,0,0,0,0
LA-507,43,43,43,100.00%,13,30,0,17,24,19,0,8,0,13,13,13,100.00%,0,0,1,4,9,0,8,0,30,30,30,100.00%,16,20,10,0,0,0,0,0,0,,0,0,0,0,0,0,31,31,31,100.00%,12,14,17,0,6,0,208,208,49,23.56%,10,19,189,0,159,0,14,0,0,0,,0,0,0,0,0,0
LA-509,470,328,235,50.00%,400,70,0,61,203,265,2,25,51,400,263,179,44.75%,17,26,55,186,212,2,4,16,70,65,56,80.00%,6,17,53,0,21,35,0,0,0,,0,0,0,0,0,0,323,248,248,76.78%,66,224,99,0,85,5,857,857,857,100.00%,115,313,544,0,111,0,174,238,238,10,4.20%,58,176,62,0,0,0
MA-500,5812,5675,5655,97.30%,5384,384,44,1258,3857,1951,4,251,62,5384,5282,5262,97.73%,85,5,1249,3837,1543,4,52,42,384,349,349,90.89%,9,20,364,0,155,20,44,44,44,100.00%,0,0,44,0,44,0,2664,2507,1458,54.73%,542,1267,1397,0,212,82,3531,3531,2340,66.27%,520,968,2563,0,737,31,2079,4114,4104,2190,53.23%,903,2207,1907,0,0,0
MA-502,1073,1073,1073,100.00%,1073,0,0,302,1025,48,0,0,16,1073,1073,1073,100.00%,0,17,302,1025,48,0,0,16,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,227,227,227,100.00%,20,40,187,0,0,0,227,7,7,7,100.00%,0,0,7,0,0,0
MA-503,343,330,310,90.38%,227,116,0,69,179,164,0,8,0,227,214,214,94.27%,30,50,69,179,48,0,0,0,116,116,96,82.76%,0,0,116,0,8,0,0,0,0,,0,0,0,0,0,0,28,28,18,64.29%,4,10,18,0,10,0,229,229,229,100.00%,5,14,215,0,52,8,100,0,0,0,,0,0,0,0,0,0
MA-504,2666,2490,2479,92.99%,2523,135,8,636,2322,340,4,11,33,2523,2438,2438,96.63%,32,359,597,2224,295,4,0,10,135,44,33,24.44%,39,98,37,0,11,23,8,8,8,100.00%,0,0,8,0,0,0,440,440,157,35.68%,119,304,136,0,0,60,1008,1008,1008,100.00%,133,361,647,0,321,26,810,312,312,159,50.96%,64,184,128,0,19,0
MA-505,367,289,234,63.76%,244,123,0,54,220,139,8,44,8,244,208,199,81.56%,30,0,42,180,56,8,0,8,123,81,35,28.46%,12,40,83,0,44,0,0,0,0,,0,0,0,0,0,0,88,88,82,93.18%,20,68,20,0,0,0,350,350,267,76.29%,72,199,151,0,83,0,267,0,0,0,,0,0,0,0,0,0
MA-506,1651,1628,1601,96.97%,1262,376,13,337,1059,588,4,157,104,1262,1239,1224,96.99%,60,6,302,971,287,4,30,48,376,376,364,96.81%,35,88,288,0,127,56,13,13,13,100.00%,0,0,13,0,0,0,709,709,709,100.00%,204,651,58,0,12,0,954,954,939,98.43%,144,388,566,0,310,0,357,128,128,0,0.00%,21,55,73,0,0,0
MA-507,701,658,648,92.44%,464,230,7,70,242,459,0,227,14,464,421,418,90.09%,7,17,65,234,230,0,34,3,230,230,230,100.00%,5,8,222,0,193,11,7,7,0,0.00%,0,0,7,0,0,0,165,165,86,52.12%,35,86,79,0,56,27,620,620,576,92.90%,42,134,486,0,432,42,120,146,146,58,39.73%,0,0,146,0,17,0
MA-509,346,316,316,91.33%,279,67,0,53,140,206,0,0,0,279,259,259,92.83%,84,16,30,78,201,0,0,0,67,57,57,85.07%,23,62,5,0,0,0,0,0,0,,0,0,0,0,0,0,17,11,3,17.65%,5,13,4,0,0,2,467,447,265,56.75%,24,63,404,0,165,0,179,221,211,0,0.00%,26,52,169,0,0,0
MA-511,965,940,940,97.41%,950,0,15,252,703,262,0,30,0,950,925,925,97.37%,20,444,252,703,247,0,15,0,0,0,0,,0,0,0,0,0,0,15,15,15,100.00%,0,0,15,0,15,0,265,242,242,91.32%,75,166,99,0,16,0,1191,1191,1153,96.81%,150,416,775,0,431,8,565,0,0,0,,0,0,0,0,0,0
MA-515,288,278,254,88.19%,264,24,0,78,256,32,0,0,0,264,254,254,96.21%,30,20,68,232,32,0,0,0,24,24,0,0.00%,10,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,76,76,2,2.63%,30,74,2,0,0,0,192,192,172,89.58%,30,94,98,0,26,11,156,0,0,0,,0,0,0,0,0,0
